n,time elapsed (ms)
1,0.001162
2,0.001423
3,0.001773
4,0.002174
5,0.003326
6,0.003788
7,0.004519
8,0.00487
9,0.007113
10,0.007564
11,0.008366
12,0.009017
13,0.009588
14,0.01045
15,0.011532
16,0.012413
17,0.01574
18,0.016762
19,0.017553
20,0.018494
21,0.019176
22,0.020599
23,0.021471
24,0.022372
25,0.023775
26,0.024718
27,0.025999
28,0.026481
29,0.028223
30,0.029235
31,0.030598
32,0.032141
33,0.038041
34,0.039154
35,0.040577
36,0.041539
37,0.043192
38,0.044865
39,0.046649
40,0.04779
41,0.049514
42,0.051357
43,0.051888
44,0.054062
45,0.055746
46,0.056758
47,0.059312
48,0.060895
49,0.061988
50,0.064352
51,0.065986
52,0.067357
53,0.069692
54,0.071014
55,0.073009
56,0.078839
57,0.076826
58,0.07917
59,0.080783
60,0.082417
61,0.084981
62,0.087005
63,0.087996
64,0.089519
65,0.098577
66,0.10057
67,0.124447
68,0.104718
69,0.107445
70,0.109117
71,0.111912
72,0.113795
73,0.116401
74,0.120979
75,0.127162
76,0.128954
77,0.128204
78,0.130327
79,0.133303
80,0.135688
81,0.137621
82,0.144734
83,0.145085
84,0.145355
85,0.148221
86,0.150706
87,0.15304
88,0.157229
89,0.163129
90,0.161347
91,0.164692
92,0.166887
93,0.169542
94,0.175753
95,0.174851
96,0.177867
97,0.17971
98,0.182897
99,0.186924
100,0.192856
101,0.589186
102,0.197725
103,0.205069
104,0.203116
105,0.205249
106,0.208947
107,0.217833
108,0.213955
109,0.218234
110,0.222282
111,0.223775
112,0.229836
113,0.229546
114,0.233212
115,0.236969
116,0.240907
117,0.239924
118,0.243231
119,0.245205
120,0.257097
121,0.255565
122,0.260343
123,0.266254
124,0.264041
125,0.267167
126,0.271936
127,0.277647
128,0.276996
129,0.319656
130,0.695479
131,0.309076
132,0.317101
133,0.314647
134,0.350836
135,0.322712
136,0.327331
137,0.33735
138,0.336248
139,0.340465
140,0.352198
141,0.348661
142,0.357949
143,0.358209
144,0.360793
145,0.372968
146,0.371134
147,0.37957
148,0.59574
149,0.38965
150,0.479118
151,0.393837
152,0.401011
153,0.397012
154,0.406421
155,0.40571
156,0.57945
157,0.416891
158,0.427701
159,0.42741
160,0.435064
161,0.433593
162,0.439824
163,0.449802
164,0.527391
165,0.45898
166,0.457678
167,0.466114
168,0.464511
169,0.475944
170,0.48002
171,0.512481
172,0.48554
173,0.496442
174,0.49565
175,0.50618
176,0.508815
177,0.508544
178,0.515898
179,0.515447
180,0.525185
181,0.526158
182,0.533852
183,0.538171
184,0.545044
185,0.547508
186,0.546727
187,0.558239
188,0.560103
189,0.570162
190,0.56979
191,0.57942
192,0.585892
193,0.584659
194,0.594458
195,0.59599
196,0.60103
197,0.630115
198,0.610848
199,0.619686
200,0.623613
201,0.624804
202,0.637439
203,0.640124
204,0.639361
205,0.649772
206,0.655412
207,0.65888
208,0.668427
209,0.673879
210,0.68047
211,0.677555
212,0.688496
213,0.697312
214,0.69618
215,0.710117
216,0.712732
217,0.714295
218,0.721098
219,0.740785
220,0.736566
221,0.742097
222,0.740785
223,0.74918
224,0.756014
225,0.762096
226,0.767665
227,0.770621
228,0.783246
229,0.788756
230,0.790569
231,0.796441
232,0.801379
233,0.804045
234,0.815406
235,0.825245
236,0.830775
237,0.833601
238,0.848539
239,0.845914
240,0.845092
241,0.856024
242,1.1636
243,0.871283
244,0.872564
245,0.879558
246,0.888315
247,0.89118
248,0.910076
249,0.913262
250,0.919514
251,0.909846
252,0.930885
253,0.920486
254,0.930394
255,0.933871
256,0.943028
257,1.05169
258,1.04223
259,1.05361
260,1.06112
261,1.06157
262,1.06851
263,1.08144
264,1.08227
265,1.08808
266,1.0976
267,1.12716
268,1.12143
269,1.12442
270,1.13176
271,1.13869
272,1.14307
273,1.16016
274,1.15333
275,1.16447
276,1.17615
277,1.17966
278,1.19223
279,1.19978
280,1.20239
281,1.21073
282,1.22246
283,1.22311
284,1.23014
285,1.24624
286,1.2458
287,1.25563
288,1.26211
289,1.27021
290,1.27117
291,1.29795
292,1.29304
293,1.30229
294,1.31191
295,1.32959
296,1.33044
297,1.33488
298,1.33181
299,1.34854
300,1.35258
301,1.36536
302,1.394
303,1.37555
304,1.39095
305,1.39119
306,1.40263
307,1.4026
308,1.42334
309,1.42469
