n,time elapsed (ms)
1,0.001032
2,0.000221
3,0.000171
4,0.00016
5,0.00016
6,0.00017
7,0.0002
8,0.00018
9,0.00014
10,0.00017
11,0.000211
12,0.000171
13,0.00019
14,0.0002
15,0.0002
16,0.000181
17,0.0002
18,0.00017
19,0.00024
20,0.00021
21,0.000191
22,0.000241
23,0.00019
24,0.00019
25,0.000221
26,0.000191
27,0.00022
28,0.000221
29,0.00021
30,0.000251
31,0.00023
32,0.0002
33,0.000231
34,0.00022
35,0.00024
36,0.00021
37,0.000211
38,0.00023
39,0.00026
40,0.00032
41,0.00024
42,0.00025
43,0.000301
44,0.00024
45,0.00027
46,0.00025
47,0.00026
48,0.00027
49,0.000271
50,0.000261
51,0.00028
52,0.000261
53,0.000261
54,0.00026
55,0.00029
56,0.000291
57,0.00027
58,0.000271
59,0.00031
60,0.000291
61,0.00029
62,0.000311
63,0.0003
64,0.000291
65,0.000301
66,0.000311
67,0.000311
68,0.000331
69,0.000321
70,0.000301
71,0.001242
72,0.000321
73,0.000311
74,0.000311
75,0.000331
76,0.000331
77,0.00036
78,0.000341
79,0.000341
80,0.000341
81,0.00032
82,0.000351
83,0.000371
84,0.00036
85,0.000371
86,0.000351
87,0.000381
88,0.000351
89,0.00034
90,0.000381
91,0.000391
92,0.00038
93,0.000381
94,0.000391
95,0.000401
96,0.00038
97,0.0004
98,0.000371
99,0.000401
100,0.000411
101,0.000381
102,0.000401
103,0.000441
104,0.000401
105,0.000401
106,0.000401
107,0.00047
108,0.000401
109,0.000431
110,0.000421
111,0.001312
112,0.000441
113,0.000411
114,0.000431
115,0.00046
116,0.000431
117,0.00045
118,0.000451
119,0.000491
120,0.000431
121,0.000431
122,0.000501
123,0.000471
124,0.000471
125,0.000441
126,0.000481
127,0.000501
128,0.000521
129,0.000511
130,0.000491
131,0.000752
132,0.000551
133,0.00048
134,0.000461
135,0.002284
136,0.000511
137,0.000501
138,0.000501
139,0.000491
140,0.000511
141,0.000521
142,0.000501
143,0.000561
144,0.000501
145,0.000521
146,0.000531
147,0.000531
148,0.000561
149,0.000521
150,0.000551
151,0.000572
152,0.000521
153,0.000541
154,0.000541
155,0.000551
156,0.000531
157,0.000561
158,0.000561
159,0.000581
160,0.000541
161,0.000531
162,0.000551
163,0.001303
164,0.000581
165,0.000571
166,0.000571
167,0.000602
168,0.000581
169,0.000551
170,0.000571
171,0.000622
172,0.000601
173,0.000601
174,0.000641
175,0.000642
176,0.000591
177,0.000581
178,0.000591
179,0.000621
180,0.000591
181,0.000602
182,0.000591
183,0.000671
184,0.000621
185,0.000621
186,0.000641
187,0.001393
188,0.000642
189,0.000622
190,0.000652
191,0.000702
192,0.000622
193,0.000652
194,0.000632
195,0.000721
196,0.000661
197,0.000651
198,0.000651
199,0.000681
200,0.000672
201,0.000661
202,0.000671
203,0.000702
204,0.000651
205,0.000651
206,0.000662
207,0.001322
208,0.000691
209,0.000672
210,0.000671
211,0.000752
212,0.000721
213,0.000691
214,0.000692
215,0.000741
216,0.000711
217,0.000691
218,0.000742
219,0.000742
220,0.000722
221,0.000691
222,0.000721
223,0.001453
224,0.000752
225,0.000722
226,0.000782
227,0.000752
228,0.000721
229,0.000731
230,0.000802
231,0.000792
232,0.000731
233,0.000741
234,0.000752
235,0.000811
236,0.000742
237,0.000791
238,0.000782
239,0.000771
240,0.000772
241,0.000781
242,0.000772
243,0.001403
244,0.000791
245,0.000771
246,0.000832
247,0.000852
248,0.000802
249,0.000781
250,0.000782
251,0.000872
252,0.000882
253,0.000832
254,0.000842
255,0.001122
256,0.000872
257,0.001072
258,0.000921
259,0.000851
260,0.000842
261,0.000841
262,0.000872
263,0.000871
264,0.000892
265,0.000861
266,0.000832
267,0.000871
268,0.000862
269,0.000851
270,0.000852
271,0.000861
272,0.000851
273,0.000882
274,0.000863
275,0.000872
276,0.000892
277,0.000891
278,0.000952
279,0.000901
280,0.000881
281,0.000891
282,0.000861
283,0.000892
284,0.000932
285,0.000912
286,0.000892
287,0.000891
288,0.000891
289,0.000912
290,0.000892
291,0.000912
292,0.000921
293,0.000912
294,0.000911
295,0.000912
296,0.000952
297,0.000922
298,0.000942
299,0.000952
300,0.000941
301,0.000932
302,0.000932
303,0.000931
304,0.000932
305,0.000922
306,0.000931
307,0.000972
308,0.000962
309,0.000972
310,0.000972
311,0.000982
312,0.000972
313,0.000952
314,0.000972
315,0.000992
316,0.001002
317,0.000992
318,0.000982
319,0.001002
320,0.001002
321,0.000972
322,0.001021
323,0.000982
324,0.000982
325,0.001002
326,0.000992
327,0.001022
328,0.001012
329,0.001032
330,0.001032
331,0.001042
332,0.001072
333,0.001032
334,0.001082
335,0.001022
336,0.001082
337,0.001072
338,0.001022
339,0.001042
340,0.001052
341,0.001082
342,0.001062
343,0.001062
344,0.001112
345,0.001092
346,0.001052
347,0.001072
348,0.001102
349,0.001082
350,0.001052
351,0.001082
352,0.001072
