n,time elapsed (ms)
1,0.000891
1,0.000941
1,0.000521
2,0.000982
2,0.001193
2,0.000972
3,0.001673
3,0.001853
3,0.001794
4,0.002155
4,0.002224
4,0.002214
5,0.003597
5,0.003607
5,0.003658
6,0.003777
6,0.004077
6,0.003957
7,0.004189
7,0.004679
7,0.004608
8,0.004759
8,0.00513
8,0.00526
9,0.007093
9,0.007054
9,0.007063
10,0.007325
10,0.007765
10,0.007785
11,0.008276
11,0.008436
11,0.008126
12,0.008977
12,0.009289
12,0.009047
13,0.009328
13,0.010179
13,0.009498
14,0.009869
14,0.010501
14,0.01077
15,0.010951
15,0.011362
15,0.011592
16,0.011613
16,0.012293
16,0.012435
17,0.01533
17,0.015881
17,0.016
18,0.016532
18,0.016582
18,0.016732
19,0.017484
19,0.017403
19,0.017653
20,0.018375
20,0.017464
20,0.018516
21,0.019007
21,0.019348
21,0.019277
22,0.019828
22,0.026591
22,0.02129
23,0.02049
23,0.02095
23,0.022102
24,0.022232
24,0.022072
24,0.023165
25,0.022554
25,0.022964
25,0.023966
26,0.023986
26,0.023766
26,0.024166
27,0.025208
27,0.02593
27,0.025619
28,0.025629
28,0.02583
28,0.027322
29,0.026942
29,0.027563
29,0.028365
30,0.028555
30,0.028364
30,0.029316
31,0.029477
31,0.029536
31,0.029367
32,0.030127
32,0.031291
32,0.03144
33,0.036731
33,0.03622
33,0.041689
34,0.03671
34,0.038124
34,0.038825
35,0.038775
35,0.039195
35,0.040067
36,0.039807
36,0.041039
36,0.04163
37,0.039817
37,0.042562
37,0.043333
38,0.041991
38,0.043905
38,0.043123
39,0.043494
39,0.043524
39,0.044495
40,0.045667
40,0.047151
40,0.04683
41,0.050607
41,0.047651
41,0.045758
42,0.048823
42,0.047662
42,0.049786
43,0.049825
43,0.051028
43,0.051058
44,0.051628
44,0.051328
44,0.051189
45,0.053243
45,0.053052
45,0.054455
46,0.054284
46,0.053684
46,0.059134
47,0.055496
47,0.055788
47,0.057219
48,0.055687
48,0.057229
48,0.05761
49,0.057501
49,0.05782
49,0.058693
50,0.060656
50,0.061558
50,0.060946
51,0.061067
51,0.061158
51,0.061819
52,0.06781
52,0.063101
52,0.06254
53,0.063682
53,0.066688
53,0.064544
54,0.065075
54,0.066668
54,0.067349
55,0.066077
55,0.067069
55,0.069594
56,0.068592
56,0.069644
56,0.129249
57,0.072038
57,0.071028
57,0.070876
58,0.07324
58,0.075024
58,0.074072
59,0.072529
59,0.073392
59,0.075044
60,0.074733
60,0.075635
60,0.082018
61,0.076657
61,0.077158
61,0.13545
62,0.078229
62,0.081336
62,0.081777
63,0.082127
63,0.080624
63,0.081086
64,0.081866
64,0.108227
64,0.085254
65,0.095524
65,0.100413
65,0.093419
66,0.093359
66,0.095193
66,0.094712
67,0.097958
67,0.096926
67,0.106134
68,0.100984
68,0.102497
68,0.09961
69,0.101716
69,0.101083
69,0.208762
70,0.104111
70,0.113648
70,0.103649
71,0.107536
71,0.108268
71,0.111234
72,0.107497
72,0.111785
72,0.111625
73,0.113799
73,0.110332
73,0.112195
74,0.110422
74,0.112886
74,0.115672
75,0.115352
75,0.118547
75,0.120642
76,0.122585
76,0.117216
76,0.11973
77,0.117295
77,0.117617
77,0.122044
78,0.121073
78,0.124158
78,0.121764
79,0.123697
79,0.12437
79,0.126101
80,0.122736
80,0.126032
80,0.124919
81,0.131503
81,0.130471
81,0.128818
82,0.126602
82,0.128837
82,0.129489
83,0.129548
83,0.196527
83,0.131593
84,0.13061
84,0.132934
84,0.134487
85,0.132874
85,0.135079
85,0.147983
86,0.137764
86,0.137074
86,0.137374
87,0.137945
87,0.142944
87,0.139208
88,0.144316
88,0.14101
88,0.140981
89,0.14062
89,0.147995
89,0.14586
90,0.146461
90,0.149768
90,0.147773
91,0.145059
91,0.149747
91,0.151311
92,0.151792
92,0.158094
92,0.154046
93,0.15121
93,0.152432
93,0.153844
94,0.219079
94,0.163734
94,0.154917
95,0.155038
95,0.16171
95,0.16131
96,0.263085
96,0.163844
96,0.163273
97,0.160679
97,0.16184
97,0.165307
98,0.160669
98,0.167792
98,0.164054
99,0.173503
99,0.168414
99,0.164055
100,0.163804
100,0.166851
100,0.280197
101,0.173252
101,0.176138
101,0.171961
102,0.176529
102,0.189904
102,0.183763
103,0.171549
103,0.177921
103,0.176338
104,0.179084
104,0.177942
104,0.176378
105,0.181278
105,0.180296
105,0.180076
106,0.186658
106,0.18745
106,0.186749
107,0.186618
107,0.185576
107,0.24474
108,0.185777
108,0.186948
108,0.187139
109,0.186708
109,0.198421
109,0.189754
110,0.194794
110,0.198812
110,0.194833
111,0.190155
111,0.193031
111,0.194934
112,0.194533
112,0.200966
112,0.197399
113,0.196828
113,0.198151
113,0.204382
114,0.282321
114,0.211868
114,0.204192
115,0.20336
115,0.214562
115,0.209343
116,0.210634
116,0.207488
116,0.210394
117,0.21391
117,0.213791
117,0.210553
118,0.216035
118,0.21857
118,0.214541
119,0.213531
119,0.216385
119,0.216135
120,0.320064
120,0.225953
120,0.225553
121,0.2249
121,0.232395
121,0.221976
122,0.221475
122,0.227055
122,0.233778
123,0.22946
123,0.230834
123,0.22962
124,0.236373
124,0.238468
124,0.233508
125,0.231534
125,0.242354
125,0.237565
126,0.235993
126,0.239699
126,0.323772
127,0.238368
127,0.238757
127,0.238899
128,0.243557
128,0.242866
128,0.240681
129,0.266051
129,0.296699
129,0.26552
130,0.267272
130,0.339881
130,0.273745
131,0.270689
131,0.278414
131,0.279447
132,0.274387
132,0.272804
132,0.280508
133,0.275859
133,0.279737
133,0.290007
134,0.278294
134,0.284265
134,0.289236
135,0.283524
135,0.290358
135,0.289755
136,0.369168
136,0.291589
136,0.293633
137,0.29153
137,0.29712
137,0.292261
138,0.29722
138,0.296329
138,0.297
139,0.299094
139,0.388115
139,0.305977
140,0.306858
140,0.303563
140,0.304433
141,0.310426
141,0.306298
141,0.307168
142,0.32291
142,0.309184
142,0.310976
143,0.316738
143,0.315476
143,0.317018
144,0.391091
144,0.318862
144,0.321317
145,0.321868
145,0.31747
145,0.317339
146,0.320144
146,0.320506
146,0.328661
147,0.329973
147,0.327448
147,0.330515
148,0.414917
148,0.336446
148,0.332398
149,0.332567
149,0.33856
149,0.336786
150,0.333258
150,0.340243
150,0.341075
151,0.330324
151,0.339832
151,0.410828
152,0.335914
152,0.347356
152,0.348069
153,0.339201
153,0.34957
153,0.351204
154,0.340253
154,0.354691
154,0.352927
155,0.352445
155,0.359139
155,0.355772
156,0.352305
156,0.422191
156,0.363467
157,0.373988
157,0.366272
157,0.368096
158,0.358457
158,0.36952
158,0.454161
159,0.377876
159,0.377334
159,0.372805
160,0.364941
160,0.379407
160,0.371444
161,0.373117
161,0.38094
161,0.3812
