n,time elapsed (ms)
1,0.001052
1,0.00019
1,0.00015
2,0.000161
2,0.00012
2,0.00012
3,0.00018
3,0.00015
3,0.000141
4,0.00015
4,0.00016
4,0.000141
5,0.00015
5,0.000131
5,0.00013
6,0.00014
6,0.00014
6,0.00014
7,0.000171
7,0.00017
7,0.000191
8,0.00019
8,0.00016
8,0.00016
9,0.00015
9,0.00018
9,0.00014
10,0.000171
10,0.000151
10,0.00015
11,0.00021
11,0.00015
11,0.000181
12,0.000161
12,0.00018
12,0.00018
13,0.00023
13,0.00018
13,0.00017
14,0.00019
14,0.000201
14,0.00019
15,0.00021
15,0.00018
15,0.0002
16,0.00021
16,0.000231
16,0.0002
17,0.00018
17,0.000191
17,0.00017
18,0.00019
18,0.00022
18,0.000171
19,0.000251
19,0.00019
19,0.00021
20,0.00018
20,0.000221
20,0.00019
21,0.00019
21,0.000191
21,0.0002
22,0.00019
22,0.000211
22,0.000201
23,0.00025
23,0.000221
23,0.00021
24,0.000211
24,0.00025
24,0.000181
25,0.00021
25,0.0002
25,0.000231
26,0.00022
26,0.000241
26,0.00022
27,0.000241
27,0.00022
27,0.00025
28,0.0002
28,0.00027
28,0.00025
29,0.00022
29,0.00022
29,0.000241
30,0.00019
30,0.000211
30,0.00025
31,0.00027
31,0.000271
31,0.000261
32,0.000241
32,0.00028
32,0.00022
33,0.000241
33,0.00023
33,0.00021
34,0.000251
34,0.000221
34,0.000251
35,0.000301
35,0.000281
35,0.00026
36,0.000221
36,0.00024
36,0.00025
37,0.000241
37,0.00024
37,0.00023
38,0.00022
38,0.00025
38,0.00026
39,0.00029
39,0.000291
39,0.000281
40,0.00026
40,0.00023
40,0.000271
41,0.000251
41,0.000301
41,0.00024
42,0.00026
42,0.000291
42,0.00028
43,0.00031
43,0.00025
43,0.000251
44,0.000261
44,0.00028
44,0.000251
45,0.000271
45,0.000261
45,0.00027
46,0.00026
46,0.000291
46,0.0003
47,0.000321
47,0.00027
47,0.00027
48,0.000281
48,0.00029
48,0.00026
49,0.000291
49,0.00028
49,0.000311
50,0.000271
50,0.00027
50,0.000291
51,0.00032
51,0.000281
51,0.00026
52,0.000271
52,0.00027
52,0.000291
53,0.00026
53,0.000291
53,0.000291
54,0.000281
54,0.000281
54,0.00034
55,0.000301
55,0.000311
55,0.00027
56,0.000301
56,0.000291
56,0.00029
57,0.000301
57,0.000341
57,0.0003
58,0.000311
58,0.000311
58,0.00031
59,0.000311
59,0.000321
59,0.00031
60,0.00032
60,0.000291
60,0.000301
61,0.00034
61,0.00031
61,0.000301
62,0.000361
62,0.000321
62,0.000321
63,0.000331
63,0.000331
63,0.00031
64,0.00034
64,0.00032
64,0.00032
65,0.00033
65,0.000311
65,0.00034
66,0.00032
66,0.00034
66,0.000331
67,0.000361
67,0.000301
67,0.000311
68,0.000341
68,0.000341
68,0.00033
69,0.00034
69,0.000351
69,0.000321
70,0.000341
70,0.00033
70,0.00033
71,0.000372
71,0.000341
71,0.000331
72,0.00034
72,0.000371
72,0.000321
73,0.00032
73,0.000361
73,0.000311
74,0.00037
74,0.000331
74,0.000351
75,0.00036
75,0.000341
75,0.00038
76,0.000381
76,0.00035
76,0.000341
77,0.000341
77,0.000371
77,0.00035
78,0.000351
78,0.00041
78,0.000361
79,0.00038
79,0.000341
79,0.000381
80,0.000381
80,0.0004
80,0.0004
81,0.000421
81,0.00038
81,0.000371
82,0.000361
82,0.000411
82,0.000351
83,0.000431
83,0.00043
83,0.000361
84,0.000431
84,0.000411
84,0.000491
85,0.00038
85,0.000612
85,0.000381
86,0.000381
86,0.000381
86,0.000381
87,0.000481
87,0.000421
87,0.000421
88,0.000431
88,0.000381
88,0.000391
89,0.00043
89,0.00041
89,0.00041
90,0.000401
90,0.000371
90,0.000401
91,0.000431
91,0.000421
91,0.000361
92,0.000381
92,0.000391
92,0.00038
93,0.000371
93,0.000431
93,0.00039
94,0.00041
94,0.0004
94,0.000391
95,0.000431
95,0.000401
95,0.000411
96,0.000441
96,0.000411
96,0.000401
97,0.000401
97,0.000441
97,0.000381
98,0.000391
98,0.000391
98,0.0004
99,0.000451
99,0.000401
99,0.000401
100,0.00043
100,0.000431
100,0.000441
101,0.000381
101,0.000411
101,0.00043
102,0.000401
102,0.000401
102,0.000421
103,0.000431
103,0.000431
103,0.000431
